date,station,volume,mark,price,payment
2020-01-02 06:21:32,C,20.9,Premium,1.83,38.25
2020-01-02 08:42:45,A,16.4,Regular,1.76,28.86
2020-01-02 11:03:58,C,23.7,Premium,1.83,43.37
2020-01-02 13:25:11,C,12.2,Regular,1.76,21.47
2020-01-02 15:46:24,A,11.0,Premium,1.83,20.13
2020-01-02 18:07:37,A,30.6,Premium,1.83,56.0
2020-01-02 20:28:50,C,27.6,Premium,1.83,50.51
2020-01-02 22:50:03,B,16.4,Premium,1.83,30.01
2020-01-03 01:11:16,C,33.5,Regular,1.76,58.96
2020-01-03 03:32:29,C,15.4,Regular,1.76,27.1
2020-01-03 05:53:42,C,18.7,Premium,1.83,34.22
2020-01-03 08:14:55,C,17.3,Premium,1.83,31.66
2020-01-03 10:36:08,A,25.2,Regular,1.76,44.35
2020-01-03 12:57:21,C,20.4,Super,2.0,40.8
2020-01-03 15:18:34,B,27.1,Super,2.0,54.2
2020-01-03 17:39:47,A,9.8,Super,2.0,19.6
2020-01-03 20:01:00,B,5.0,Regular,1.76,8.8
2020-01-03 22:22:13,B,37.7,Regular,1.76,66.35
2020-01-04 00:43:26,B,17.4,Super,2.0,34.8
2020-01-04 03:04:39,B,23.4,Super,2.0,46.8
2020-01-04 05:25:52,A,23.3,Premium,1.83,42.64
2020-01-04 07:47:05,A,36.3,Regular,1.76,63.89
2020-01-04 10:08:18,B,25.9,Regular,1.76,45.58
2020-01-04 12:29:31,B,19.3,Super,2.0,38.6
2020-01-04 14:50:44,A,14.8,Super,2.0,29.6
2020-01-04 17:11:57,A,19.6,Regular,1.76,34.5
2020-01-04 19:33:10,A,10.9,Premium,1.83,19.95
2020-01-04 21:54:23,C,18.3,Super,2.0,36.6
2020-01-05 00:15:36,C,17.6,Regular,1.76,30.98
2020-01-05 02:36:49,C,32.8,Regular,1.76,57.73
2020-01-05 04:58:02,B,23.0,Premium,1.83,42.09
2020-01-05 07:19:15,C,5.0,Premium,1.83,9.15
